symbol,name,type
10.75NMB89/90,10.75% NMB Debenture 2089/2090,bond
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,equity
ADBL,Agricultural Development Bank Limited,equity
ADBLB,4% Agricultural Bond,bond
ADBLB86,"8 Years, 4% Agriculture Bond",bond
ADBLB87,"9 years, 4% Agriculture  Bond",bond
ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,bond
ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,equity
AHL,Asian Hydropower Limited,equity
AHPC,Arun Valley Hydropower Development Co. Ltd.,equity
AIL,Ajod Insurance Limited,equity
AKBSL,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,equity
AKJCL,Ankhu Khola Jalvidhyut Company Ltd,equity
AKPL,Arun Kabeli Power Ltd.,equity
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,equity
ALICL,Asian Life Insurance Co. Limited,equity
ALICLP,Asian Life Insurance Co. Ltd Promoter Share,promoter
AMFI,Arambha Microfinance Bittiya Sanstha Ltd.,equity
AMFIPO,Arambha Microfinance Bittiya Sanstha Ltd. Promoter Share,promoter
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,equity
APHL,Appolo Hydropower Limited,equity
API,API Power Company Limited,equity
AVU,Arun Vanaspati Udhyog Limited,equity
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,equity
BANDIPUR,Bandipur Cable Car and Tourism Limited,equity
BANKING,Commercial Banking,index
BARUN,Barun Hydropower Co. Ltd.,equity
BBC,Bishal Bazar Company Limited,equity
BEDC,Bhugol Energy Development Company Limited,equity
BENI,Beni Hydropower Project Limited,equity
BFC,Best Finance Company Ltd.,equity
BFCPO,Best Finance Co. Limited Promoter Share,promoter
BFLPO,Butwal Finance Limited Promoter Share,promoter
BGWT,Bhagawati Hydropower Development Company Ltd,equity
BHBL,Bhargav Bikash Bank Ltd.,equity
BHBLPO,Bhargav Bikash Bank Ltd. Promoter Share,promoter
BHCL,Bikash Hydropower Company Limited,equity
BHDC,Bindhyabasini Hydropower Development Company Limited,equity
BHL,Balephi Hydropower Limited,equity
BHPL,Barahi Hydropower Public Limited,equity
BJHL,Bhujung Hydropower Limited,equity
BNHC,Buddha Bhumi Nepal Hydro Power Co. Ltd.,equity
BNL,Bottlers Nepal (Balaju) Limited,equity
BNT,Bottlers Nepal (Terai) Limited,equity
BOKD2079,8% BOK Debenture 2079,bond
BOKD86,8.5% BOK Debenture 2086,bond
BOKD86KA,"BOK Debenture 2086 ""KA""",bond
BOKL,Bank of Kathmandu Ltd.,equity
BOKLPO,Bank of Kathmandu Limited Promoter Share,promoter
BPCL,Butwal Power Company Limited,equity
BPW,BPW Laghubitta Bittiya Sanstha Limited,equity
BSBLPO,Bishwa Bikas Bank Limited Promoter Share,promoter
BSL,Birat Shoe Limited,equity
BSM,Butwal Spinning Mills Limited,equity
